waveform	Ch0		Gen	
t0	04.02.2020  15:03:26,447537		04.02.2020  15:03:26,447541	
delta t	8,000000E-6		8,000000E-6	

time[0]	Ch0	time[1]	Gen
04.02.2020  15:03:26,447985	2,846736E+0	04.02.2020  15:03:26,447989	1,057201E-1
04.02.2020  15:03:26,447993	2,865760E+0	04.02.2020  15:03:26,447997	9,959352E-2
04.02.2020  15:03:26,448001	2,878659E+0	04.02.2020  15:03:26,448005	9,507919E-2
04.02.2020  15:03:26,448009	2,894136E+0	04.02.2020  15:03:26,448013	9,024242E-2
04.02.2020  15:03:26,448017	2,911871E+0	04.02.2020  15:03:26,448021	8,540564E-2
04.02.2020  15:03:26,448025	2,927994E+0	04.02.2020  15:03:26,448029	8,250357E-2
04.02.2020  15:03:26,448033	2,943150E+0	04.02.2020  15:03:26,448037	7,766680E-2
04.02.2020  15:03:26,448041	2,959272E+0	04.02.2020  15:03:26,448045	7,347492E-2
04.02.2020  15:03:26,448049	2,978297E+0	04.02.2020  15:03:26,448053	6,992795E-2
04.02.2020  15:03:26,448057	2,991518E+0	04.02.2020  15:03:26,448061	6,541363E-2
04.02.2020  15:03:26,448065	3,007641E+0	04.02.2020  15:03:26,448069	6,186666E-2
04.02.2020  15:03:26,448073	3,024086E+0	04.02.2020  15:03:26,448077	5,831969E-2
04.02.2020  15:03:26,448081	3,043111E+0	04.02.2020  15:03:26,448085	5,541762E-2
04.02.2020  15:03:26,448089	3,057299E+0	04.02.2020  15:03:26,448093	5,187065E-2
04.02.2020  15:03:26,448097	3,069874E+0	04.02.2020  15:03:26,448101	4,896859E-2
04.02.2020  15:03:26,448105	3,090834E+0	04.02.2020  15:03:26,448109	4,574407E-2
04.02.2020  15:03:26,448113	3,105344E+0	04.02.2020  15:03:26,448117	4,348691E-2
04.02.2020  15:03:26,448121	3,121145E+0	04.02.2020  15:03:26,448125	4,026239E-2
04.02.2020  15:03:26,448129	3,134043E+0	04.02.2020  15:03:26,448133	3,768277E-2
04.02.2020  15:03:26,448137	3,155003E+0	04.02.2020  15:03:26,448141	3,542561E-2
04.02.2020  15:03:26,448145	3,168546E+0	04.02.2020  15:03:26,448149	3,252355E-2
04.02.2020  15:03:26,448153	3,182411E+0	04.02.2020  15:03:26,448157	3,026638E-2
04.02.2020  15:03:26,448161	3,201436E+0	04.02.2020  15:03:26,448165	2,736432E-2
04.02.2020  15:03:26,448169	3,216269E+0	04.02.2020  15:03:26,448173	2,607451E-2
